
param build_limit := 8;

param: CITY: supply demand :=
         1     19     4
         2     13     1
         3     20     2
         4     18     7
         5     23     9
         6     25     9
         7     22     3
         8     28     9
         9     18     5
        10     16     2
        11     17     4
        12     14     1
        13     22     9
        14     13     3
        15     18     1
        16     20     7
        17     15     5
        18     23     9
        19     25     2
        20     19     4
        21     18     9
        22     19     6
        23     22     5
        24     22     4
        25     21     5
        26     19     6
        27     17     8
        28     21     9
        29     15     5
        30     25     6 ;

param ship_cost

:    1    2   3    4   5   6   7    8   9   10  11   12  13   14  15 :=
1    0   61  35   35  53  16  11   58  28  34   43  18   48  30   68
2   61    0  96   88  29  77  50   92  57  75   48  47   76  32   77
3   35   96   0   18  88  21  45   72  58  53   65  49   51  66   93
4   35   88  18    0  87  27  42   84  62  62   51  42   33  62  100
5   53   29  88   87   0  67  45   66  37  54   62  47   85  26   49
6   16   77  21   27  67   0  27   57  36  34   55  32   51  46   73
7   11   50  45   42  45  27   0   64  29  40   35   8   46  20   68
8   58   92  72   84  66  57  64    0  37  24   99  72  106  65   31
9   28   57  58   62  37  36  29   37   0  18   62  36   74  28   40
10  34   75  53   62  54  34  40   24  18   0   75  48   81  45   41
11  43   48  65   51  62  55  35   99  62  75    0  27   29  39   99
12  18   47  49   42  47  32   8   72  36  48   27   0   40  21   74
13  48   76  51   33  85  51  46  106  74  81   29  40    0  60  114
14  30   32  66   62  26  46  20   65  28  45   39  21   60   0   60
15  68   77  93  100  49  73  68   31  40  41   99  74  114  60    0
16  15   74  22   20  68  10  24   67  41  43   46  27   41  44   80
17  27   34  61   55  35  43  16   72  34  50   30  13   51  10   69
18  53   75  76   85  48  57  55   19  26  24   88  62  100  51   17
19  26   87  14   26  77  10  37   60  45  39   63  42   55  56   79
20  32   68  40   25  73  37  31   90  59  66   27  27   15  48   99
21  13   70  33   39  57  12  23   47  24  23   57  31   59  38   61
22  41   38  76   76  14  54  35   54  23  40   59  39   79  19   42
23  54    8  88   81  27  69  43   87  51  69   41  39   69  25   75
24  36   87  43   55  67  29  44   30  30  15   79  52   80  55   53
25  51   71  76   83  44  57  52   23  24  24   85  60   98  48   17
26  68   82  91  100  54  73  69   26  41  39  101  77  115  63    6
27  29   39  64   63  24  43  22   56  19  37   48  26   66  10   51
28  20   78  17   16  73  12  29   69  46  46   49  31   40  49   85
29  49  104  43   59  85  38  60   38  48  32   92  67   89  72   67
30  48  106  33   51  90  34  59   49  54  39   89  65   82  74   77

:   16  17  18   19  20   21  22  23  24  25  26   27  28  29   30 :=
1   15  27   53  26   32  13  41  54  36  51   68  29  20   49   48
2   74  34   75  87   68  70  38   8  87  71   82  39  78  104  106
3   22  61   76  14   40  33  76  88  43  76   91  64  17   43   33
4   20  55   85  26   25  39  76  81  55  83  100  63  16   59   51
5   68  35   48  77   73  57  14  27  67  44   54  24  73   85   90
6   10  43   57  10   37  12  54  69  29  57   73  43  12   38   34
7   24  16   55  37   31  23  35  43  44  52   69  22  29   60   59
8   67  72   19  60   90  47  54  87  30  23   26  56  69   38   49
9   41  34   26  45   59  24  23  51  30  24   41  19  46   48   54
10  43  50   24  39   66  23  40  69  15  24   39  37  46   32   39
11  46  30   88  63   27  57  59  41  79  85  101  48  49   92   89
12  27  13   62  42   27  31  39  39  52  60   77  26  31   67   65
13  41  51  100  55   15  59  79  69  80  98  115  66  40   89   82
14  44  10   51  56   48  38  19  25  55  48   63  10  49   72   74
15  80  69   17  79   99  61  42  75  53  17    6  51  85   67   77
16   0  39   65  17   26  20  56  66  39  63   80  44   5   48   43
17  39   0   59  53   39  38  29  27  58  56   72  18  44   74   74
18  65  59    0  63   85  45  37  70  37   4   15  42  69   51   60
19  17  53   63   0   42  21  64  80  30  63   78  53  15   34   27
20  26  39   85  42    0  44  65  61  65  83  100  52  27   75   69
21  20  38   45  21   44   0  44  63  22  44   61  34  24   36   36
22  56  29   37  64   65  44   0  34  53  33   46  13  61   71   76
23  66  27   70  80   61  63  34   0  80  67   79  32  71   97   99
24  39  58   37  30   65  22  53  80   0  38   51  48  41   18   25
25  63  56    4  63   83  44  33  67  38   0   17  38  68   53   62
26  80  72   15  78  100  61  46  79  51  17    0  54  84   63   73
27  44  18   42  53   52  34  13  32  48  38   54   0  49   66   69
28   5  44   69  15   27  24  61  71  41  68   84  49   0   48   42
29  48  74   51  34   75  36  71  97  18  53   63  66  48    0   12
30  43  74   60  27   69  36  76  99  25  62   73  69  42   12    0 ;
