
# ------------------------------------------------
# TEST DATA for balassign0.mod
# All names and types are fictional
# ------------------------------------------------

param sample := 8;
param selection := 0;

param numberGrps := 5;

set ALL_PEOPLE :=
   BIW   AJH   FWI   IGN   KWR   KKI   HMN   SML   RSR   TBR
   KRS   CAE   MPO   CAR   PSL   BCG   DJA   AJT   JPY   HWG
   TLR   MRL   JDS   JAE   TEN   MKA   NMA   PAS   DLD   SCG
   VAA   FTR   GCY   OGZ   SME   KKA   MMY   API   ASA   JLN
   JRT   SJO   WMS   RLN   WLB   SGA   MRE   SDN   HAN   JSG
   AMR   DHY   JMS   AGI   RHE   BLE   SMA   BAN   JAP   EHR
   MES   DHE   SWS   ACI   RJY   TWD   MMA   JJR   MFR   LHS
   JAD   CWU   PMY   CAH   SJH   EGR   JMQ   GGH   MMH   JWR
   MJR   EAZ   WAD   LVN   DHR   ABE   LSR   MBT   AJU   SAS
   JRS   RFS   TAR   DLT   HJO   SCR   CMY   GDE   MSL   CGS
   HCN   JWS   RPR   RCR   RLS   DSF   MNA   MSR   PSY   MET
   DAN   RVY   PWS   CTS   KLN   RDN   ANV   LMN   FSM   KWN
   CWT   PMO   EJD   AJS   SBK   JWB   SNN   PST   PSZ   AWN
   DCN   RGR   CPR   NHI   HKA   VMA   DMN   KRA   CSN   HRR
   SWR   LLR   AVI   RHA   KWY   MLE   FJL   ESO   TJY   WHF
   TBG   FEE   MTH   RMN   WFS   CEH   SOL   ASO   MDI   RGE
   LVO   ADS   CGH   RHD   MBM   MRH   RGF   PSA   TTI   HMG
   ECA   CFS   MKN   SBM   RCG   JMA   EGL   UJT   ETN   GWZ
   MAI   DBN   HFE   PSO   APT   JMT   RJE   MRZ   MRK   XYF
   JCO   PSN   SCS   RDL   TMN   CGY   GMR   SER   RMS   JEN
   DWO   REN   DGR   DET   FJT   RJZ   MBY   RSN   REZ   BLW ;

param: CATEG: typeWt :=  dept 1  loc 1  rate 1  title 1 ;

param type:

     dept       loc     rate    title   :=
BIW   NNE   Peoria        A   Assistant
KRS   WSW   Springfield   B   Assistant
TLR   NNW   Peoria        B   Adjunct
VAA   NNW   Peoria        A   Deputy
JRT   NNE   Springfield   A   Deputy
AMR   SSE   Peoria        A   Deputy
MES   NNE   Peoria        A   Consultant
JAD   NNE   Peoria        A   Adjunct
MJR   NNE   Springfield   A   Assistant
JRS   NNE   Springfield   A   Assistant
HCN   SSE   Peoria        A   Deputy
DAN   NNE   Springfield   A   Adjunct
CWT   NNE   Springfield   A   Adjunct
DCN   NNE   Peoria        A   Adjunct
SWR   WSW   Peoria        A   Adjunct
TBG   NNE   Springfield   A   Assistant
LVO   NNE   Peoria        A   Assistant
ECA   NNE   Springfield   A   Assistant
MAI   NNE   Peoria        B   Adjunct
JCO   SSE   Macomb        A   Adjunct
DWO   SSE   Peoria        A   Adjunct
AJH   NNE   Peoria        A   Adjunct
CAE   SSE   Peoria        A   Adjunct
MRL   WSW   Peoria        A   Assistant
FTR   NNE   Peoria        A   Adjunct
SJO   NNE   Peoria        A   Adjunct
DHY   NNE   Urbana        A   Adjunct
DHE   NNE   Peoria        A   Adjunct
CWU   NNW   Peoria        A   Assistant
EAZ   NNE   Peoria        A   Assistant
RFS   NNE   Peoria        A   Deputy
JWS   WSW   Peoria        A   Adjunct
RVY   NNE   Peoria        A   Adjunct
PMO   SSE   Peoria        A   Assistant
RGR   NNE   Peoria        A   Assistant
LLR   NNE   Peoria        A   Assistant
FEE   NNW   Springfield   A   Adjunct
ADS   NNE   Peoria        A   Adjunct
CFS   NNW   Joliet        A   Assistant
DBN   SSE   Peoria        A   Adjunct
PSN   NNE   Peoria        A   Adjunct
REN   NNE   Peoria        B   Adjunct
FWI   NNW   Peoria        A   Assistant
MPO   SSE   Peoria        A   Assistant
JDS   NNW   Peoria        A   Adjunct
GCY   NNE   Peoria        A   Adjunct
WMS   NNE   Springfield   A   Deputy
