###  DATA  ###

data;

set prd := 18REG 24REG 24PRO ;

param first :=  1 ;
param last  := 13 ;
param life  :=  2 ;

param cs := 18 ;
param sl :=  8 ;
param iw :=  8 ;

param rtr := 16.00 ;
param otr := 43.85 ;
param rir :=  0.75 ;
param pir :=  0.80 ;


param :         pt       pc        cri       crs      iinv   :=

  18REG      1.194     2304.     0.015     1.100      82.0
  24REG      1.509     2920.     0.015     1.100     792.2
  24PRO      1.509     2910.     0.015     1.100       0.0   ;


param :     dpp        ol      cmin      cmax        hc        lc   :=

  1        19.5      96.0       0.0       8.0      7500      7500
  2        19.0      96.0       0.0       8.0      7500      7500
  3        20.0      96.0       0.0       8.0      7500      7500
  4        19.0      96.0       0.0       8.0      7500      7500
  5        19.5      96.0       0.0       8.0     15000     15000
  6        19.0      96.0       0.0       8.0     15000     15000
  7        19.0      96.0       0.0       8.0     15000     15000
  8        20.0      96.0       0.0       8.0     15000     15000
  9        19.0      96.0       0.0       8.0     15000     15000
 10        20.0      96.0       0.0       8.0     15000     15000
 11        20.0      96.0       0.0       8.0      7500      7500
 12        18.0      96.0       0.0       8.0      7500      7500
 13        18.0      96.0       0.0       8.0      7500      7500   ;


param dem (tr) :

          18REG     24REG     24PRO   :=

  1        63.8    1212.0       0.0
  2        76.0     306.2       0.0
  3        88.4     319.0       0.0
  4       913.8     208.4       0.0
  5       115.0     298.0       0.0
  6       133.8     328.2       0.0
  7        79.6     959.6       0.0
  8       111.0     257.6       0.0
  9       121.6     335.6       0.0
 10       470.0     118.0    1102.0
 11        78.4     284.8       0.0
 12        99.4     970.0       0.0
 13       140.4     343.8       0.0
 14        63.8    1212.0       0.0   ;


param pro (tr) :

          18REG     24REG     24PRO   :=

  1           0         1         0
  2           0         0         0
  3           0         0         0
  4           1         0         0
  5           0         0         0
  6           0         0         0
  7           0         1         0
  8           0         0         0
  9           0         0         0
 10           1         0         1
 11           0         0         0
 12           0         0         0
 13           0         1         0
 14           0         1         0   ;

